time,low,high,open,close,volume,difficulty,sentiment_medio,google_trend,greed_and_fear
2022-12-20,16398.22,17060.86,16439.98,16897.65,34330.28235168,35364065900457.0,0.0840111781505531,23.0,29
2022-12-19,16273.4,16822.84,16742.33,16439.74,26856.08598724,34606598588472.793,0.0681837074823046,22.0,29
2022-12-18,16663.76,16875.0,16782.23,16741.16,11073.43886205,34244331613176.0,0.1011871874221271,19.0,26
2022-12-17,16585.64,16799.99,16634.29,16782.25,18446.6836015,34244331613176.0,0.0532016551052695,21.0,28
2022-12-16,16529.53,17525.0,17359.1,16632.64,47159.86300655,34244331613176.0,0.0723070323622532,27.0,29
2022-12-15,17275.02,17856.26,17805.36,17357.96,37834.73808374,34244331613176.0,0.0709037739627457,23.0,31
2022-12-14,17660.93,18385.36,17772.98,17804.97,49295.42072146,34244331613176.0,0.0647559394970109,24.0,30
2022-12-13,17089.17,17999.99,17212.9,17773.18,38316.03172467,34244331613176.0,0.1008776051539544,25.0,27
2022-12-12,16875.83,17244.63,17085.62,17211.66,20659.65709227,34244331613176.0,0.0308752097385818,23.0,27
2022-12-11,17073.19,17271.92,17128.1,17085.21,9948.85267032,34244331613176.0,0.0578549123585344,21.0,26
2022-12-10,17093.42,17227.64,17130.49,17128.1,7860.58687575,34244331613176.0,0.0236641365492506,18.0,27
2022-12-09,17060.69,17352.62,17226.03,17130.59,20976.63699864,34244331613176.0,0.0795472795369291,21.0,26
2022-12-08,16738.0,17300.59,16839.76,17226.01,23533.23453743,34244331613176.0,0.0988943486362018,24.0,25
2022-12-07,16679.52,17140.22,17089.18,16840.0,22635.46848793,34244331613176.0,0.0985246743039185,24.0,29
2022-12-06,16904.04,17111.35,16966.05,17089.05,26693.6101171,34464833739061.23,0.129745516014926,23.0,25
2022-12-05,16865.22,17424.59,17108.9,16966.05,33618.45109026,36950494067222.0,0.0790418355835876,22.0,26
2022-12-04,16882.86,17199.99,16889.17,17108.9,16961.10828839,36950494067222.0,0.1083866893959106,20.0,26
2022-12-03,16863.58,17158.42,17094.25,16888.53,14081.4506716,36950494067222.0,0.0204798096086518,20.0,27
2022-12-02,16791.02,17108.25,16980.07,17094.71,23096.43686725,36950494067222.0,0.0683769601201142,22.0,27
2022-12-01,16855.0,17317.8,17165.44,16980.08,31798.99151828,36950494067222.0,0.0588836028940195,24.0,27
2022-11-30,16423.37,17259.37,16437.94,17167.33,42517.61172285,36950494067222.0,0.0600910229342606,25.0,29
2022-11-29,16092.53,16541.72,16206.23,16438.0,21901.9847881,36950494067222.0,0.1298245304658468,27.0,26
2022-11-28,15992.64,16478.32,16421.63,16206.3,30336.24756667,36950494067222.0,0.0722744053429452,26.0,28
2022-11-27,16395.0,16589.43,16450.32,16419.88,10825.69525321,36950494067222.0,0.0925508960201756,21.0,26
2022-11-26,16376.1,16693.18,16510.9,16450.93,12308.57070713,36950494067222.0,0.1051684194368526,22.0,22
2022-11-25,16333.0,16610.08,16587.6,16510.9,20800.91157317,36950494067222.0,0.1644484532146518,24.0,20
2022-11-24,16450.62,16797.28,16585.83,16587.61,21819.50497344,36950494067222.0,0.0908757940685538,25.0,20
2022-11-23,16142.99,16700.0,16201.15,16587.0,37143.06609396,36950494067222.0,0.088061273705231,29.0,22
2022-11-22,15596.22,16294.5,15758.96,16199.71,44555.90690195,36950494067222.0,0.082684458674042,32.0,22
2022-11-21,15460.0,16279.99,16252.43,15760.14,43799.91803333,36950494067222.0,0.064460088497935,33.0,21
2022-11-20,16154.65,16733.19,16680.7,16252.53,16685.1909604,36773572356982.41,0.0713873500432697,25.0,24
2022-11-19,16534.83,16802.0,16678.85,16683.02,9396.04770097,36762198818467.0,0.102130980595376,27.0,23
2022-11-18,16526.28,16984.08,16680.47,16680.59,26970.34405749,36762198818467.0,0.0381479081479081,32.0,23
2022-11-17,16396.0,16736.7,16646.58,16680.47,22484.77507436,36762198818467.0,0.0621643730456094,36.0,20
2022-11-16,16358.66,16994.31,16879.37,16645.24,37249.70414522,36762198818467.0,0.0612323424475486,37.0,23
2022-11-15,16502.85,17107.88,16588.41,16877.93,48155.32053543,36762198818467.0,0.0521950403533564,39.0,22
2022-11-14,15790.25,17169.68,16298.75,16590.73,55601.93469977,36762198818467.0,0.0622769055195059,47.0,24
2022-11-13,16214.95,16926.57,16783.32,16301.39,23266.69734743,36762198818467.0,0.05740178704617,42.0,22
2022-11-12,16595.25,17067.7,17014.78,16783.33,23830.0578576,36762198818467.0,0.0523983948150614,46.0,21
2022-11-11,16336.05,17641.32,17555.44,17013.62,64776.6547934,36762198818467.0,0.0465000040825658,50.0,25
2022-11-10,15720.0,18140.62,15894.77,17553.89,91496.98548059,36762198818467.0,0.0311797732842319,60.0,22
2022-11-09,15512.0,18590.34,18546.07,15891.96,119633.96194081,36762198818467.0,0.0648905512752239,55.0,29
2022-11-08,17500.0,20675.0,20593.34,18550.25,84056.63082724,36762198818467.0,0.0691459245106364,31.0,31
2022-11-07,20394.34,21069.46,20908.15,20593.49,25279.82916936,36766791551487.06,0.095981433155725,20.0,33
2022-11-06,20886.26,21365.89,21300.45,20909.17,10958.4932636,36835682546788.0,0.0637511322511322,18.0,40
2022-11-05,21082.54,21478.8,21149.03,21300.45,14076.70487828,36835682546788.0,0.1247933159675466,20.0,38
2022-11-04,20181.61,21298.76,20208.02,21144.2,42027.16281295,36835682546788.0,0.0573566529902935,21.0,30
2022-11-03,20032.02,20390.82,20151.29,20206.88,26837.37211156,36835682546788.0,0.0829248571723061,21.0,30
2022-11-02,20059.53,20805.0,20480.34,20151.4,43913.21904186,36835682546788.0,0.0729657599198738,21.0,30
2022-11-01,20326.55,20691.0,20489.55,20479.63,21147.00854592,36835682546788.0,0.1039896618742771,20.0,30
2022-10-31,20237.0,20837.68,20629.21,20489.94,22222.73611567,36835682546788.0,0.1380194648844226,22.0,31
2022-10-30,20523.92,20939.35,20822.38,20630.68,13737.38848362,36835682546788.0,0.1150629964044219,19.0,34
2022-10-29,20561.2,21080.0,20597.34,20823.53,19822.75126022,36835682546788.0,0.0788097058164908,20.0,34
2022-10-28,20000.0,20755.09,20295.77,20597.91,29581.75150226,36835682546788.0,0.089156020757744,22.0,30
2022-10-27,20196.01,20878.17,20773.59,20296.97,34123.58255469,36835682546788.0,0.1308929701208316,22.0,32
2022-10-26,20055.85,21022.81,20086.27,20775.4,43618.9919315,36835682546788.0,0.1053585430384274,25.0,33
2022-10-25,19240.76,20420.88,19332.11,20086.28,42452.33701168,36835682546788.0,0.0752520090345611,22.0,20
2022-10-24,19159.35,19603.57,19572.2,19330.41,29432.58356293,36835682546788.0,0.0876624494332827,20.0,22
2022-10-23,19070.92,19698.1,19209.09,19572.44,12086.31175412,35626599175758.016,0.0642693433471685,19.0,23
2022-10-22,19110.46,19257.66,19164.92,19209.1,7044.99034028,35610794164372.0,0.064588281211126,18.0,20
